# q/kF, int w**2 * S(q; w) dw
5.000000000000000278e-02,5.716746892466093195e-05
5.791583166332665844e-02,7.978063689114686186e-05
6.583166332665331411e-02,1.093992867271858046e-04
7.374749498997995589e-02,1.462590592354911156e-04
8.166332665330661156e-02,1.851841639135881005e-04
8.957915831663326722e-02,2.156012116227542033e-04
9.749498997995992289e-02,2.339751397822163281e-04
1.054108216432865786e-01,2.527371518153319558e-04
1.133266533066132342e-01,2.916716906720050683e-04
1.212424849699398899e-01,3.667317181246263023e-04
1.291583166332665455e-01,4.610887588869455947e-04
1.370741482965932012e-01,4.998051888975598963e-04
1.449899799599198569e-01,4.895219415873689785e-04
1.529058116232465125e-01,5.332792027007800988e-04
1.608216432865731682e-01,6.783300797007367792e-04
1.687374749498998239e-01,7.830895522725989056e-04
1.766533066132264795e-01,7.329105988607510563e-04
1.845691382765531352e-01,7.902953041305280481e-04
1.924849699398797909e-01,1.021370456063928553e-03
2.004008016032064465e-01,1.019076912875673110e-03
2.083166332665331022e-01,9.829722064942324460e-04
2.162324649298597579e-01,1.271367328240139089e-03
2.241482965931864135e-01,1.273196114266484389e-03
2.320641282565130692e-01,1.237812099133927006e-03
2.399799599198396693e-01,1.617087428226447699e-03
2.478957915831663250e-01,1.436130999599807964e-03
2.558116232464929807e-01,1.672512317597912293e-03
2.637274549098196363e-01,1.808913819408392585e-03
2.716432865731462920e-01,1.733949361309853818e-03
2.795591182364729477e-01,2.163503697647710649e-03
2.874749498997996033e-01,1.891701097965287114e-03
2.953907815631262590e-01,2.454729774515821816e-03
3.033066132264529147e-01,2.105635107058270467e-03
3.112224448897795703e-01,2.707406102060171821e-03
3.191382765531062260e-01,2.385683855368098821e-03
3.270541082164328817e-01,2.842529182069948850e-03
3.349699398797595373e-01,2.855986909004675812e-03
3.428857715430861930e-01,2.798511905130007891e-03
3.508016032064128487e-01,3.509134790500501987e-03
3.587174348697395598e-01,2.995216502531677059e-03
3.666332665330661600e-01,3.426371264051672558e-03
3.745490981963928157e-01,3.971019321591525222e-03
3.824649298597194713e-01,3.439650562072469123e-03
3.903807615230461270e-01,3.696505809729326228e-03
3.982965931863727826e-01,4.535964928573769928e-03
4.062124248496994383e-01,4.450279425376679754e-03
4.141282565130260940e-01,4.029977010549780359e-03
4.220440881763527496e-01,4.178324003627687314e-03
4.299599198396793498e-01,4.818963680100356133e-03
4.378757515030060055e-01,5.492080965816313956e-03
4.457915831663326611e-01,5.780036805093383134e-03
4.537074148296593168e-01,5.753113073409179580e-03
4.616232464929859725e-01,5.677417708939060809e-03
4.695390781563126281e-01,5.687568029060834952e-03
4.774549098196392838e-01,5.812130389089808537e-03
4.853707414829659395e-01,6.058835692596542012e-03
4.932865731462925951e-01,6.451898439242316312e-03
5.012024048096193063e-01,7.011788360787039702e-03
5.091182364729459620e-01,7.628241798257858267e-03
5.170340681362726176e-01,7.860115378510890149e-03
5.249498997995992733e-01,7.334366707078560782e-03
5.328657314629259290e-01,6.733506993711854335e-03
5.407815631262525846e-01,7.210924945233534306e-03
5.486973947895792403e-01,8.897043976198646537e-03
5.566132264529058959e-01,8.397354864304155259e-03
5.645290581162326626e-01,7.564139743963959120e-03
5.724448897795592073e-01,9.795424158289824448e-03
5.803607214428858629e-01,8.390789465343355055e-03
5.882765531062125186e-01,9.559013999357227065e-03
5.961923847695391743e-01,9.210989903763436640e-03
6.041082164328658299e-01,1.037740706749428442e-02
6.120240480961924856e-01,9.086711681334269305e-03
6.199398797595191413e-01,1.180721960752843976e-02
6.278557114228457969e-01,1.026979113074286652e-02
6.357715430861724526e-01,9.790173826579337199e-03
6.436873747494991083e-01,1.170328164962015569e-02
6.516032064128257639e-01,1.322841090901904007e-02
6.595190380761524196e-01,1.318283495165215730e-02
6.674348697394790753e-01,1.289178012712204925e-02
6.753507014028057309e-01,1.308114171952400387e-02
6.832665330661323866e-01,1.388694937346987221e-02
6.911823647294590423e-01,1.504321960537655448e-02
6.990981963927856979e-01,1.488074836136944572e-02
7.070140280561122426e-01,1.277973723513409730e-02
