# q/kF, int w**0 * S(q; w) dw
1.000000000000000021e-02,7.342935137151235765e-12
2.000000000000000042e-02,2.350964210090319494e-10
2.999999999999999889e-02,1.786590764003406311e-09
4.000000000000000083e-02,7.536097872395576973e-09
5.000000000000000278e-02,2.302653644094313359e-08
6.000000000000000472e-02,5.739204233516954971e-08
6.999999999999999278e-02,1.242847367899367056e-07
8.000000000000000167e-02,2.428394558173405822e-07
8.999999999999999667e-02,4.386798899333363161e-07
9.999999999999999167e-02,7.449354587313596268e-07
1.100000000000000006e-01,1.203458544671890003e-06
1.199999999999999956e-01,1.865617883166343026e-06
1.300000000000000044e-01,2.793950275967231574e-06
1.400000000000000133e-01,4.063053061939274825e-06
1.500000000000000222e-01,5.761177771043381577e-06
1.600000000000000033e-01,7.991235937028588269e-06
1.700000000000000122e-01,1.087318986634249419e-05
1.800000000000000211e-01,1.454421893070442677e-05
1.900000000000000300e-01,1.916292280025677175e-05
2.000000000000000111e-01,2.490753620796330571e-05
2.100000000000000200e-01,3.198055507218517806e-05
2.200000000000000011e-01,4.061247665018258404e-05
2.300000000000000100e-01,5.105658126104146283e-05
2.400000000000000189e-01,6.360348754425788919e-05
2.500000000000000000e-01,7.857196159730166695e-05
2.600000000000000089e-01,9.631750860976387636e-05
2.700000000000000178e-01,1.172352352654855580e-04
2.800000000000000266e-01,1.417610115625522803e-04
2.900000000000000355e-01,1.703841592898248610e-04
2.999999999999999889e-01,2.036299052852052907e-04
3.099999999999999978e-01,2.420880014723432471e-04
3.200000000000000067e-01,2.863952217833942195e-04
3.300000000000000155e-01,3.372781931638492198e-04
3.400000000000000244e-01,3.954909842062250599e-04
3.500000000000000333e-01,4.618886439363950169e-04
3.600000000000000422e-01,5.374035056102108082e-04
3.699999999999999400e-01,6.230366893133833803e-04
3.800000000000000600e-01,7.199021104211334116e-04
3.900000000000000133e-01,8.291951864677610641e-04
4.000000000000000222e-01,9.522494308654976414e-04
4.100000000000000311e-01,1.090470323065363591e-03
4.200000000000000400e-01,1.245408613664583273e-03
4.299999999999999933e-01,1.418736951963413999e-03
4.400000000000000022e-01,1.612356973531391905e-03
4.500000000000000111e-01,1.828175101496725330e-03
4.600000000000000200e-01,2.068391331028047141e-03
4.700000000000000289e-01,2.335272341527827068e-03
4.800000000000000377e-01,2.631465904126772080e-03
4.899999999999999911e-01,2.959650280692122624e-03
5.000000000000000000e-01,3.322774693669813990e-03
5.100000000000000089e-01,3.724033385098590027e-03
5.200000000000000178e-01,4.166960079117195369e-03
5.300000000000000266e-01,4.655346416855592889e-03
5.400000000000000355e-01,5.193072292515672241e-03
5.500000000000000444e-01,5.784688244014558195e-03
5.600000000000000533e-01,6.434796221340991114e-03
5.700000000000000622e-01,7.148713616992648061e-03
5.800000000000000711e-01,7.931664370836668393e-03
5.899999999999999689e-01,8.789695379186758528e-03
5.999999999999999778e-01,9.729568257846973878e-03
6.099999999999999867e-01,1.075795930873300540e-02
6.199999999999999956e-01,1.188235799342683349e-02
6.300000000000000044e-01,1.311086183760664520e-02
6.400000000000000133e-01,1.445255359701407179e-02
6.500000000000000222e-01,1.591691334830746402e-02
6.600000000000000311e-01,1.751384666630101394e-02
6.700000000000000400e-01,1.925406559218659566e-02
6.800000000000000488e-01,2.115148340833801835e-02
6.900000000000000577e-01,2.321699434462105860e-02
7.000000000000000666e-01,2.546673694752785849e-02
7.100000000000000755e-01,2.791388610381961843e-02
7.199999999999999734e-01,3.057905860463119158e-02
7.299999999999999822e-01,3.347753132287665384e-02
7.399999999999998801e-01,3.662989480858470231e-02
7.500000000000000000e-01,4.006006337151606089e-02
7.600000000000001199e-01,4.379317411342792399e-02
7.700000000000000178e-01,4.785529129162212347e-02
7.800000000000000266e-01,5.227719357575373593e-02
7.900000000000000355e-01,5.709326201449019950e-02
8.000000000000000444e-01,6.234212478273793573e-02
8.100000000000000533e-01,6.806741317092970811e-02
8.200000000000000622e-01,7.431987316187750603e-02
8.300000000000000711e-01,8.116751347870772293e-02
8.400000000000000799e-01,8.867269083975516664e-02
8.499999999999999778e-01,9.691469241410635704e-02
8.599999999999999867e-01,1.060023163156159631e-01
8.699999999999999956e-01,1.160855476927240282e-01
8.800000000000000044e-01,1.272849595071387230e-01
8.900000000000000133e-01,1.399190936904022020e-01
9.000000000000000222e-01,1.542075216857517195e-01
9.100000000000000311e-01,1.708576179823414476e-01
9.200000000000000400e-01,1.904982723350502893e-01
9.300000000000000488e-01,2.157827285376006377e-01
9.400000000000000577e-01,2.533926971243654069e-01
9.500000000000000666e-01,3.441282148744000957e-01
9.600000000000000755e-01,3.853361426262387757e-01
9.699999999999999734e-01,3.918856394220275319e-01
9.799999999999999822e-01,3.982288307659074822e-01
9.899999999999998801e-01,4.045393965993283047e-01
1.000000000000000000e+00,4.108597778755221919e-01
1.010000000000000009e+00,4.171928095138250914e-01
1.020000000000000018e+00,4.235347675478481899e-01
1.030000000000000027e+00,4.298814316960414827e-01
1.040000000000000036e+00,4.362291154500954615e-01
1.050000000000000044e+00,4.425747339057225505e-01
1.060000000000000053e+00,4.489155593888571882e-01
1.070000000000000062e+00,4.552492682761235532e-01
1.080000000000000071e+00,4.615737932158112122e-01
1.090000000000000080e+00,4.678966808606836447e-01
1.100000000000000089e+00,4.742236162861280246e-01
1.110000000000000098e+00,4.805331602871368291e-01
1.120000000000000107e+00,4.868241459733237964e-01
1.130000000000000115e+00,4.931226235087968757e-01
1.140000000000000124e+00,4.993993683594731836e-01
1.150000000000000133e+00,5.056626883559625085e-01
1.160000000000000142e+00,5.119176542600374358e-01
1.169999999999999929e+00,5.181503162294339715e-01
1.179999999999999938e+00,5.243749505500415742e-01
1.189999999999999947e+00,5.305772017473944224e-01
1.199999999999999956e+00,5.367630395292433132e-01
1.209999999999999964e+00,5.429324765863461355e-01
1.219999999999999973e+00,5.490752746745887203e-01
1.229999999999999982e+00,5.552040545361857093e-01
1.239999999999999991e+00,5.613098956201868495e-01
1.249999999999999778e+00,5.673894759334212612e-01
1.260000000000000009e+00,5.734431183497523676e-01
1.270000000000000018e+00,5.794784238546528687e-01
1.280000000000000027e+00,5.854864464708382510e-01
1.290000000000000036e+00,5.914664732528457369e-01
1.300000000000000044e+00,5.974181494364545486e-01
1.310000000000000053e+00,6.033408519934657654e-01
1.320000000000000062e+00,6.092339327167295426e-01
1.330000000000000071e+00,6.150964935556273439e-01
1.340000000000000080e+00,6.209277029262486591e-01
1.350000000000000089e+00,6.267265449775979436e-01
1.360000000000000098e+00,6.324919456942024176e-01
1.370000000000000107e+00,6.382227763709101831e-01
1.380000000000000115e+00,6.439178633435117538e-01
1.390000000000000124e+00,6.495759756251185957e-01
1.400000000000000133e+00,6.551982482305096500e-01
1.410000000000000142e+00,6.607852455539823255e-01
1.419999999999999929e+00,6.663318480310116421e-01
1.429999999999999938e+00,6.718367012330539456e-01
1.439999999999999947e+00,6.773028602804878062e-01
1.449999999999999956e+00,6.827293653526979034e-01
1.459999999999999964e+00,6.881101359391087469e-01
1.469999999999999973e+00,6.934509634998669014e-01
1.479999999999999760e+00,6.987471139188095037e-01
1.489999999999999991e+00,7.039971162027482965e-01
1.500000000000000000e+00,7.092043804347811786e-01
1.510000000000000009e+00,7.143623360252423504e-01
1.520000000000000240e+00,7.194760576183409917e-01
1.530000000000000027e+00,7.245400642174100181e-01
1.540000000000000036e+00,7.295552088399697155e-01
1.550000000000000044e+00,7.345229065598736229e-01
1.560000000000000053e+00,7.394369214755309727e-01
1.570000000000000062e+00,7.443027294580042419e-01
1.580000000000000071e+00,7.491167556769922076e-01
1.590000000000000080e+00,7.538761432497003145e-01
1.600000000000000089e+00,7.585811635273955744e-01
1.610000000000000098e+00,7.632358875468204795e-01
1.620000000000000107e+00,7.678345128161564448e-01
1.630000000000000115e+00,7.723765962658947215e-01
1.640000000000000124e+00,7.768617502461425683e-01
1.650000000000000133e+00,7.812894832002014178e-01
1.660000000000000142e+00,7.856592221835430045e-01
1.670000000000000151e+00,7.899704206454696287e-01
1.679999999999999938e+00,7.942224042506318415e-01
1.689999999999999947e+00,7.984144725564493728e-01
1.699999999999999956e+00,8.025459015252953687e-01
1.709999999999999964e+00,8.066158732081296634e-01
1.719999999999999973e+00,8.106235638208154626e-01
1.729999999999999982e+00,8.145680842453122406e-01
1.739999999999999991e+00,8.184484723024225694e-01
1.750000000000000222e+00,8.222637697245090971e-01
1.760000000000000009e+00,8.260129241448880277e-01
1.770000000000000018e+00,8.296956533951465040e-01
1.780000000000000027e+00,8.333150948784687762e-01
1.790000000000000036e+00,8.368656470473707643e-01
1.800000000000000044e+00,8.403460850126132087e-01
1.810000000000000053e+00,8.437590172698848923e-01
1.820000000000000062e+00,8.471037303245186889e-01
1.830000000000000071e+00,8.503749740159036730e-01
1.840000000000000080e+00,8.535781701432334501e-01
1.850000000000000089e+00,8.567084586623151532e-01
1.860000000000000098e+00,8.597653815554358037e-01
1.870000000000000107e+00,8.627511724359594458e-01
1.880000000000000115e+00,8.656605561653692993e-01
1.890000000000000124e+00,8.684978816580952721e-01
1.900000000000000133e+00,8.712580730821343211e-01
1.910000000000000142e+00,8.739425402249493269e-01
1.920000000000000151e+00,8.765514594789360903e-01
1.929999999999999938e+00,8.790792807938263564e-01
1.939999999999999947e+00,8.815333833379983552e-01
1.949999999999999956e+00,8.839066359642557824e-01
1.959999999999999964e+00,8.861977822109518010e-01
1.969999999999999973e+00,8.884110266477045492e-01
1.979999999999999760e+00,8.905432293353783280e-01
1.989999999999999991e+00,8.925917451870506447e-01
2.000000000000000000e+00,8.945560634619180718e-01
2.009999999999999787e+00,8.964570958104510767e-01
2.020000000000000018e+00,8.983207183966399612e-01
2.029999999999999805e+00,9.001444067602079047e-01
2.040000000000000036e+00,9.019292655800651426e-01
2.049999999999999822e+00,9.036764386409119609e-01
2.059999999999999609e+00,9.053869800427094550e-01
2.069999999999999840e+00,9.070618502006971839e-01
2.079999999999999627e+00,9.087019331984191872e-01
2.089999999999999858e+00,9.103080361613511418e-01
2.099999999999999645e+00,9.118808850585812253e-01
2.109999999999999876e+00,9.134211488617640651e-01
2.119999999999999662e+00,9.149293951699754013e-01
2.129999999999999893e+00,9.164061417798020637e-01
2.139999999999999680e+00,9.178544920154796394e-01
2.149999999999999911e+00,9.192744203090289501e-01
2.159999999999999698e+00,9.206646648837458757e-01
2.169999999999999929e+00,9.220254544963042420e-01
2.179999999999999716e+00,9.233569289001989366e-01
2.189999999999999947e+00,9.246657231874656491e-01
2.199999999999999734e+00,9.259473250104305331e-01
2.209999999999999964e+00,9.272003916386551969e-01
2.219999999999999751e+00,9.284305372489952690e-01
2.229999999999999982e+00,9.296368862807496969e-01
2.239999999999999769e+00,9.308148654695207469e-01
2.250000000000000000e+00,9.319753308360673172e-01
2.259999999999999787e+00,9.331085766399815906e-01
2.270000000000000462e+00,9.342214701355325834e-01
2.279999999999999805e+00,9.353111450005792138e-01
2.290000000000000036e+00,9.363801517773415739e-01
2.299999999999999822e+00,9.374269213555429525e-01
2.310000000000000053e+00,9.384552561814947236e-01
2.319999999999999840e+00,9.394591636366462772e-01
2.329999999999999627e+00,9.404496635531962578e-01
2.339999999999999858e+00,9.414161585349817285e-01
2.349999999999999645e+00,9.423651946283242431e-01
2.359999999999999876e+00,9.432978558043063622e-01
2.369999999999999662e+00,9.442092321233017671e-01
2.379999999999999893e+00,9.451030355636073077e-01
2.389999999999999680e+00,9.459835624833066170e-01
2.399999999999999911e+00,9.468451091786748153e-01
2.409999999999999698e+00,9.476884801493374866e-01
2.419999999999999929e+00,9.485144911854219707e-01
2.429999999999999716e+00,9.493292544984657244e-01
2.439999999999999947e+00,9.501280923867037043e-01
2.449999999999999734e+00,9.509110024432256836e-01
2.459999999999999964e+00,9.516786351689034973e-01
2.469999999999999751e+00,9.524314816674371853e-01
2.479999999999999982e+00,9.531701345470626752e-01
2.489999999999999769e+00,9.538949839531212227e-01
2.499999999999999556e+00,9.546064087642263107e-01
2.509999999999999787e+00,9.553047370401389626e-01
2.520000000000000018e+00,9.559902742399276621e-01
2.529999999999999805e+00,9.566632440908744428e-01
2.540000000000000036e+00,9.573237076638578813e-01
2.549999999999999822e+00,9.579718289233360995e-01
2.560000000000000053e+00,9.586075609044983903e-01
2.569999999999999840e+00,9.592309204380978782e-01
2.579999999999999627e+00,9.598416740452357931e-01
2.589999999999999858e+00,9.604441552874943833e-01
2.599999999999999645e+00,9.610375138766666936e-01
2.609999999999999876e+00,9.616185217584890532e-01
2.619999999999999662e+00,9.621867487962525445e-01
2.629999999999999893e+00,9.627429108905096733e-01
2.639999999999999680e+00,9.632963821260309700e-01
2.649999999999999911e+00,9.638365067563057220e-01
2.659999999999999698e+00,9.643624530668081229e-01
2.669999999999999929e+00,9.648860357160580214e-01
2.679999999999999716e+00,9.653979839702078181e-01
2.689999999999999947e+00,9.658953896829536312e-01
2.699999999999999734e+00,9.663938319364008267e-01
2.709999999999999964e+00,9.668754344857202199e-01
2.719999999999999751e+00,9.673536899847173798e-01
2.729999999999999538e+00,9.678206766994379429e-01
2.739999999999999769e+00,9.682803877080307098e-01
2.750000000000000000e+00,9.687318819098891254e-01
2.759999999999999787e+00,9.691760211957695104e-01
2.770000000000000018e+00,9.696106654260717717e-01
2.779999999999999805e+00,9.700415072382091441e-01
2.790000000000000036e+00,9.704571958881498261e-01
2.799999999999999822e+00,9.708767441617365268e-01
2.810000000000000053e+00,9.712810496336611310e-01
2.819999999999999840e+00,9.716804615064430495e-01
2.829999999999999627e+00,9.720765969724268762e-01
2.839999999999999858e+00,9.724599093648712556e-01
2.849999999999999645e+00,9.728389653937509207e-01
2.859999999999999876e+00,9.732160183357873029e-01
2.869999999999999662e+00,9.735824360094997854e-01
2.879999999999999893e+00,9.739388075754049634e-01
2.889999999999999680e+00,9.742957566995041896e-01
2.899999999999999911e+00,9.746477002836219095e-01
2.909999999999999698e+00,9.749914464061207875e-01
2.919999999999999929e+00,9.753273005230227444e-01
2.929999999999999716e+00,9.756562274564480886e-01
2.939999999999999947e+00,9.759799226657575044e-01
2.949999999999999734e+00,9.763041063083973681e-01
2.959999999999999520e+00,9.766219462678489283e-01
2.969999999999999751e+00,9.769338484230040143e-01
2.979999999999999982e+00,9.772400748073243326e-01
2.989999999999999769e+00,9.775409591370928242e-01
3.000000000000000000e+00,9.778367740942075503e-01
3.009999999999999787e+00,9.781277281212004127e-01
3.020000000000000018e+00,9.784139619885474648e-01
3.029999999999999805e+00,9.786955450983131355e-01
3.040000000000000480e+00,9.789724714960109653e-01
3.049999999999999822e+00,9.792446555664963137e-01
3.060000000000000053e+00,9.795119273951092831e-01
3.069999999999999840e+00,9.797740277908256745e-01
3.080000000000000071e+00,9.800306030361150000e-01
3.089999999999999858e+00,9.802852202834456685e-01
3.099999999999999645e+00,9.805413933778046598e-01
3.109999999999999876e+00,9.807922089321630121e-01
3.119999999999999662e+00,9.810369577967914534e-01
3.129999999999999893e+00,9.812752817500878244e-01
3.139999999999999680e+00,9.815058463029601166e-01
3.149999999999999911e+00,9.817404398047544500e-01
3.159999999999999698e+00,9.819746945302401109e-01
3.169999999999999929e+00,9.821999483231458328e-01
3.179999999999999716e+00,9.824151802465916905e-01
3.189999999999999947e+00,9.826370586597845680e-01
3.199999999999999734e+00,9.828568430992402627e-01
3.209999999999999964e+00,9.830640555507309530e-01
3.219999999999999751e+00,9.832713411424934824e-01
3.229999999999999982e+00,9.834832504164884304e-01
3.239999999999999769e+00,9.836790243517308241e-01
3.250000000000000000e+00,9.838816307159522490e-01
3.259999999999999787e+00,9.840804614179341492e-01
3.270000000000000462e+00,9.842638203886598935e-01
